Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Total
Mujeres;Total;Aragón;1 o 2 días a la semana;11,04
Mujeres;Total;Aragón;3 o 4 días a la semana;16,41
Mujeres;Total;Aragón;5 o 6 días a la semana;10,80
Mujeres;Total;Aragón;7 días a la semana;9,40
Mujeres;Total;Asturias (Principado de);TOTAL;100,00
Mujeres;Total;Asturias (Principado de);Ninguno;33,70
Mujeres;Total;Asturias (Principado de);1 o 2 días a la semana;20,93
Mujeres;Total;Asturias (Principado de);3 o 4 días a la semana;21,42
Mujeres;Total;Asturias (Principado de);5 o 6 días a la semana;18,29
Mujeres;Total;Asturias (Principado de);7 días a la semana;5,67
Mujeres;Total;Balears (Illes);TOTAL;100,00
Mujeres;Total;Balears (Illes);Ninguno;49,58
Mujeres;Total;Balears (Illes);1 o 2 días a la semana;12,23
Mujeres;Total;Balears (Illes);3 o 4 días a la semana;14,44
Mujeres;Total;Balears (Illes);5 o 6 días a la semana;10,25
Mujeres;Total;Balears (Illes);7 días a la semana;13,50
Mujeres;Total;Canarias;TOTAL;100,00
Mujeres;Total;Canarias;Ninguno;54,83
Mujeres;Total;Canarias;1 o 2 días a la semana;10,28
Mujeres;Total;Canarias;3 o 4 días a la semana;19,90
Mujeres;Total;Canarias;5 o 6 días a la semana;11,60
Mujeres;Total;Canarias;7 días a la semana;3,39
Mujeres;Total;Cantabria;TOTAL;100,00
Mujeres;Total;Cantabria;Ninguno;71,31
Mujeres;Total;Cantabria;1 o 2 días a la semana;8,53
Mujeres;Total;Cantabria;3 o 4 días a la semana;9,70
Mujeres;Total;Cantabria;5 o 6 días a la semana;9,06
Mujeres;Total;Cantabria;7 días a la semana;1,39
Mujeres;Total;Castilla y León;TOTAL;100,00
Mujeres;Total;Castilla y León;Ninguno;44,27
Mujeres;Total;Castilla y León;1 o 2 días a la semana;11,95
Mujeres;Total;Castilla y León;3 o 4 días a la semana;13,93
Mujeres;Total;Castilla y León;5 o 6 días a la semana;13,15
Mujeres;Total;Castilla y León;7 días a la semana;16,70
Mujeres;Total;Castilla-La Mancha;TOTAL;100,00
Mujeres;Total;Castilla-La Mancha;Ninguno;62,42
Mujeres;Total;Castilla-La Mancha;1 o 2 días a la semana;10,45
Mujeres;Total;Castilla-La Mancha;3 o 4 días a la semana;13,31
Mujeres;Total;Castilla-La Mancha;5 o 6 días a la semana;6,07
Mujeres;Total;Castilla-La Mancha;7 días a la semana;7,75
Mujeres;Total;Cataluña;TOTAL;100,00
Mujeres;Total;Cataluña;Ninguno;55,11
Mujeres;Total;Cataluña;1 o 2 días a la semana;14,66
Mujeres;Total;Cataluña;3 o 4 días a la semana;16,45
Mujeres;Total;Cataluña;5 o 6 días a la semana;7,49
Mujeres;Total;Cataluña;7 días a la semana;6,29
Mujeres;Total;Comunitat Valenciana;TOTAL;100,00
Mujeres;Total;Comunitat Valenciana;Ninguno;56,09
Mujeres;Total;Comunitat Valenciana;1 o 2 días a la semana;13,54
Mujeres;Total;Comunitat Valenciana;3 o 4 días a la semana;15,95
Mujeres;Total;Comunitat Valenciana;5 o 6 días a la semana;8,92
Mujeres;Total;Comunitat Valenciana;7 días a la semana;5,50
Mujeres;Total;Extremadura;TOTAL;100,00
Mujeres;Total;Extremadura;Ninguno;60,79
Mujeres;Total;Extremadura;1 o 2 días a la semana;15,25
Mujeres;Total;Extremadura;3 o 4 días a la semana;11,77
Mujeres;Total;Extremadura;5 o 6 días a la semana;6,34
Mujeres;Total;Extremadura;7 días a la semana;5,85
Mujeres;Total;Galicia;TOTAL;100,00
Mujeres;Total;Galicia;Ninguno;64,61
Mujeres;Total;Galicia;1 o 2 días a la semana;13,24
Mujeres;Total;Galicia;3 o 4 días a la semana;11,13
Mujeres;Total;Galicia;5 o 6 días a la semana;7,64
Mujeres;Total;Galicia;7 días a la semana;3,38
Mujeres;Total;Madrid (Comunidad de);TOTAL;100,00
Mujeres;Total;Madrid (Comunidad de);Ninguno;54,90
Mujeres;Total;Madrid (Comunidad de);1 o 2 días a la semana;14,27
Mujeres;Total;Madrid (Comunidad de);3 o 4 días a la semana;16,86
Mujeres;Total;Madrid (Comunidad de);5 o 6 días a la semana;7,13
Mujeres;Total;Madrid (Comunidad de);7 días a la semana;6,84
Mujeres;Total;Murcia (Región de);TOTAL;100,00
Mujeres;Total;Murcia (Región de);Ninguno;46,63
Mujeres;Total;Murcia (Región de);1 o 2 días a la semana;15,55
Mujeres;Total;Murcia (Región de);3 o 4 días a la semana;21,94
Mujeres;Total;Murcia (Región de);5 o 6 días a la semana;10,47
Mujeres;Total;Murcia (Región de);7 días a la semana;5,40
Mujeres;Total;Navarra (Comunidad Foral de);TOTAL;100,00
